,current_nA,time_s,substrate_reference_mM,SMA_10
533,0.31940900000000005,533,0.0,0.0
534,0.403959,534,0.0,0.0
535,0.263043,535,0.0,0.0
536,0.338198,536,0.0,0.0
537,0.37577600000000005,537,0.0,0.0
538,0.34759300000000004,538,0.0,0.0
539,0.37577600000000005,539,0.0,0.0
540,0.356987,540,0.0,0.0
541,0.36403275,541,0.0,0.0
542,0.356987,542,0.0,0.0
543,0.36638100000000007,543,0.0,0.0
544,0.413354,544,0.0,0.0
545,0.356987,545,0.0,0.0
546,0.31940900000000005,546,0.0,0.0
547,0.441537,547,0.0,0.0
548,0.356987,548,0.0,0.0
549,0.406308,549,0.0,0.0
550,0.413354,550,0.0,0.0
551,0.413354,551,0.0,0.0
552,0.291226,552,0.0,0.0
553,0.46032600000000007,553,0.0,0.0
554,0.30062099999999997,554,0.0,0.0
555,0.253649,555,0.0,0.0
556,0.30062099999999997,556,0.0,0.0
557,0.338198,557,0.0,0.0
558,0.356987,558,0.0,0.0
559,0.37577600000000005,559,0.0,0.0
560,0.22546500000000003,560,0.0,0.0
561,0.36638100000000007,561,0.0,0.0
562,0.291226,562,0.0,0.0
563,0.39456500000000005,563,0.0,0.0
564,0.422748,564,0.0,0.0
565,0.36403300000000005,565,0.0,0.0
566,0.291226,566,0.0,0.0
567,0.34759300000000004,567,0.0,0.0
568,0.272437,568,0.0,0.0
569,0.31940900000000005,569,0.0,0.0
570,0.281832,570,0.0,0.0
571,0.356987,571,0.0,0.0
572,0.38517,572,0.0,0.0
573,0.281832,573,0.0,0.0
574,0.291226,574,0.0,0.0
575,0.34759300000000004,575,0.0,0.0
576,0.23486,576,0.0,0.0
577,0.338198,577,0.0,0.0
578,0.291226,578,0.0,0.0
579,0.39456500000000005,579,0.0,0.0
580,0.403959,580,0.0,0.0
581,0.39456500000000005,581,0.0,0.0
582,0.356987,582,0.0,0.0
583,0.338198,583,0.0,0.0
584,0.35698675,584,0.0,0.0
585,0.36638100000000007,585,0.0,0.0
586,0.36638100000000007,586,0.0,0.0
587,0.36872975,587,0.0,0.0
588,0.36638100000000007,588,0.0,0.0
589,0.37577600000000005,589,0.0,0.0
590,0.34759300000000004,590,0.0,0.0
591,0.356987,591,0.0,0.0
592,0.38517,592,0.0,0.0
